target,teacher_layers,seed,stage,holdout,corpus_index,target_cut,target_loss,step,discrete_layers,method,K,executed,D_c,rel_err,A_x,A_x_flip,ratio,target_ratio,median_abs_corr,target_median_abs_corr,temperature,min_hamming_to_train,unique_fraction,ratio_1000shots,max_ratio_any_sample,sampled,filter_spearman
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,4,generator+filter_T1.0,10,10,0.05572284911157445,0.9641233996765454,0.5666666666666667,0.5833333333333333,0.5397590361445783,0.8313253012048193,0.04598269742799367,0.194621561398478,1.0,,,,,1000.0,0.006396716432240411
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,4,generator+filter_T1.0,100,100,0.04873609273376671,0.9025415840513445,0.6833333333333333,0.6833333333333333,0.5783132530120482,0.8313253012048193,0.032912422460625985,0.19462156139847797,1.0,,,,,1000.0,0.006396716432240411
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,4,generator_T0.7,1,1,0.06587875140829894,1.047782227794919,0.5724999999999999,0.5761666666666667,0.6403614457831327,0.8313253012048188,0.07184008091134449,0.194621561398478,0.7,1.24,0.57,,,,
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,4,generator_T0.7,10,10,0.05770828757624814,0.9813533594176453,0.6050000000000001,0.6050000000000001,0.6325301204819278,0.8313253012048193,0.06972516703537074,0.194621561398478,0.7,1.24,0.57,,,,
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,4,generator_T0.7,100,100,0.04630430879040644,0.8797364161541127,0.5833333333333334,0.5833333333333334,0.5783132530120482,0.8313253012048193,0.029004114798880966,0.19462156139847797,0.7,1.24,0.57,0.572289156626506,0.7469879518072289,,
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,4,nearest_train,1,0,0.04242024724701058,0.8420317444227429,0.7666666666666667,0.7666666666666667,0.6385542168674698,0.8313253012048193,0.051861342042684555,0.19462156139847797,,,,,,,
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,4,nearest_train,10,0,0.04242024724701058,0.8420317444227429,0.7666666666666667,0.7666666666666667,0.6385542168674698,0.8313253012048193,0.051861342042684555,0.19462156139847797,,,,,,,
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,4,nearest_train,100,0,0.04242024724701058,0.8420317444227429,0.7666666666666667,0.7666666666666667,0.6385542168674698,0.8313253012048193,0.051861342042684555,0.19462156139847797,,,,,,,
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,4,search_ceiling,0,20000,0.016508759143389673,0.5252899387974688,0.8333333333333334,0.8333333333333334,0.6626506024096386,0.8313253012048193,0.1515860546892207,0.19462156139847797,,,,0.7078313253012049,,,
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,4,random,1,1,0.08849355043098914,1.2215529636361533,0.5015,0.5488333333333333,0.5201204819277109,0.8313253012048188,0.028541379099635736,0.19334668221545825,,,,,,,
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,4,random,10,10,0.06303708115033894,1.039056946195212,0.5583333333333333,0.5616666666666666,0.553012048192771,0.8313253012048193,0.024375598663806525,0.1933466822154582,,,,,,,
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,4,random,100,100,0.05474041047869523,0.9690194107392989,0.5666666666666667,0.5666666666666667,0.5662650602409639,0.8313253012048193,0.015594607097564748,0.19334668221545823,,,,,,,
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,4,generator_T1.0,1,1,0.07086949426920083,1.0975759157683986,0.5426666666666666,0.5686666666666667,0.5746987951807229,0.8313253012048188,0.050892591804317454,0.19334668221545825,1.0,8.04,0.97,,,,
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,4,generator_T1.0,10,10,0.05649202214668696,0.9841857561795635,0.5733333333333335,0.5800000000000001,0.6096385542168674,0.8313253012048193,0.0589684799657994,0.1933466822154582,1.0,8.04,0.97,,,,
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,4,generator_T1.0,100,100,0.05277092623171482,0.9514277413500087,0.6,0.6,0.5180722891566265,0.8313253012048193,0.054354443977387853,0.19334668221545823,1.0,8.04,0.97,0.5036144578313253,0.7469879518072289,,
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,4,generator+filter_T1.0,1,1,0.06466369289569744,1.0509967936857512,0.5535,0.5641666666666667,0.5690361445783132,0.8313253012048188,0.05638284206360579,0.19334668221545825,1.0,,,,,1000.0,-0.2812794430941879
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,4,generator+filter_T1.0,10,10,0.0532586980243089,0.9553549243433597,0.5883333333333334,0.5916666666666667,0.608433734939759,0.8313253012048193,0.057875180810279536,0.1933466822154582,1.0,,,,,1000.0,-0.2812794430941879
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,4,generator+filter_T1.0,100,100,0.04773612916222074,0.9049030494308579,0.7166666666666667,0.7166666666666667,0.5783132530120482,0.8313253012048193,0.037235323350108485,0.19334668221545823,1.0,,,,,1000.0,-0.2812794430941879
