target,holdout,teacher_layers,discrete_layers,target_ratio,D_c_search,D_c_refined,D_c_pool_grid,D_c_M8,A_x_M8,ratio_M8,D_c_M16,A_x_M16,ratio_M16,D_c_M32,A_x_M32,ratio_M32,D_c_M64,A_x_M64,ratio_M64
T8_s2_final,False,8,4,0.8674698795180723,0.02999540551397356,0.02713720511236097,0.03772669106975595,0.04045037956547814,0.7166666666666667,0.5903614457831325,0.03184942316977058,0.8166666666666667,0.6144578313253012,0.027693850208775128,0.9,0.7469879518072289,0.02759197767000354,0.8166666666666667,0.6867469879518072
T8_s3_final,False,8,4,0.9759036144578314,0.03666950151737981,0.02725661814597496,0.05743283717218044,0.03988834547458989,0.75,0.6746987951807228,0.03298229497123483,0.7833333333333333,0.6265060240963856,0.027883117328789862,0.8333333333333334,0.6867469879518072,0.02752588991755761,0.85,0.7228915662650602
T8_s4_final,False,8,4,0.9397590361445783,0.04412733043428574,0.018481338724054042,0.0532164672096458,0.036734380524034264,0.8,0.7228915662650602,0.020821640587338413,0.8166666666666667,0.6626506024096386,0.0197913611915334,0.8333333333333334,0.6746987951807228,0.018728836432833774,0.8333333333333334,0.6746987951807228
T8_s5_final,False,8,4,0.9879518072289156,0.033609209262252096,0.025858958021580395,0.05395008267571053,0.04960107780076824,0.75,0.5662650602409639,0.029700364693544885,0.85,0.8072289156626506,0.026840008217265884,0.85,0.7349397590361446,0.026215520462183627,0.8333333333333334,0.7710843373493976
T8_s6_final,False,8,4,0.9879518072289156,0.02896101818919246,0.02128569540529637,0.050715353186848035,0.03276688293727447,0.7833333333333333,0.6626506024096386,0.02611777358652588,0.8333333333333334,0.7951807228915663,0.022418043848091453,0.8666666666666667,0.8433734939759037,0.021435228726359345,0.8666666666666667,0.8674698795180723
T8_s7_final,True,8,4,0.8795180722891566,0.0384598980560017,0.018255540050560307,0.04665580194685149,0.042882187414540245,0.7833333333333333,0.6506024096385542,0.023252268372598344,0.9,0.7590361445783133,0.02054575964028354,0.9166666666666666,0.7951807228915663,0.018698010182838183,0.9166666666666666,0.7951807228915663
T8_s8_final,True,8,4,0.9397590361445783,0.02940866120917211,0.02673779275368459,0.03200862713136106,0.03697199770015302,0.65,0.5662650602409639,0.030197616155129895,0.75,0.5662650602409639,0.02806595107456441,0.8,0.6987951807228916,0.027021380347871434,0.8,0.6987951807228916
T8_s9_final,True,8,4,0.9156626506024096,0.02891151263477708,0.022076521758675912,0.032045704866949166,0.030529245834340232,0.85,0.7590361445783133,0.026961981281100857,0.8,0.6987951807228916,0.022856534809124425,0.8166666666666667,0.7108433734939759,0.022290696375451554,0.8333333333333334,0.7228915662650602
T8_s9_q25,True,8,4,0.9156626506024096,0.022733983818712958,0.01787871335280474,0.028142608360880155,0.03522349500382002,0.7,0.6506024096385542,0.022524386603030556,0.85,0.7590361445783133,0.0187149851490488,0.8333333333333334,0.6746987951807228,0.018121743614940237,0.8333333333333334,0.6746987951807228
T8_s9_q50,True,8,4,0.9156626506024096,0.03149016057664527,0.01986412464127001,0.05920919247141868,0.03607115362309673,0.7666666666666667,0.6265060240963856,0.022140502697897288,0.8666666666666667,0.7951807228915663,0.02084442612382831,0.8666666666666667,0.7710843373493976,0.020144042291069794,0.8666666666666667,0.7710843373493976
