family,m,instance,method,run,generation,evaluations,best_score,best_cut,pop_mean_cut,median_abs_corr,min_abs_corr,two_qubit,non_clifford,scorer_loss,seconds,ratio_best,ratio_pop_mean
reg3,60,reg3_m60_s1,es+pretrained,0,345,17260,1.3222232679581871,73.0,72.1,0.0711623814713216,0.003710112520658858,20,38,0.00515703484416008,364.60418480000226,0.9012345679012346,0.8901234567901234
reg3,60,reg3_m60_s1,es+pretrained,0,350,17510,1.3222232679581871,73.0,72.2,0.0711623814713216,0.003710112520658858,20,38,0.004116569645702839,367.9170246999711,0.9012345679012346,0.891358024691358
reg3,60,reg3_m60_s1,es+pretrained,0,355,17760,1.3222232679581871,73.0,72.3,0.0711623814713216,0.003710112520658858,20,38,0.004918764811009169,373.733208599966,0.9012345679012346,0.8925925925925926
reg3,60,reg3_m60_s1,es+pretrained,0,360,18010,1.3222232679581871,73.0,72.3,0.0711623814713216,0.003710112520658858,20,38,0.004123636521399021,379.5434537999681,0.9012345679012346,0.8925925925925926
reg3,60,reg3_m60_s1,es+pretrained,0,365,18260,1.3222232679581871,73.0,72.3,0.0711623814713216,0.003710112520658858,20,38,0.005492719821631908,382.91871119994903,0.9012345679012346,0.8925925925925926
reg3,60,reg3_m60_s1,es+pretrained,0,370,18510,1.3222232679581871,73.0,72.6,0.0711623814713216,0.003710112520658858,20,38,0.005031982436776161,388.7218570999685,0.9012345679012346,0.8962962962962963
reg3,60,reg3_m60_s1,es+pretrained,0,375,18760,1.325857854852887,73.0,73.0,0.07818013290945006,0.0017946727840771719,20,38,0.003918474540114403,394.53995879995637,0.9012345679012346,0.9012345679012346
reg3,60,reg3_m60_s1,es+pretrained,0,380,19010,1.325857854852887,73.0,73.0,0.07818013290945006,0.0017946727840771719,20,38,0.0050012459978461266,397.90922129998216,0.9012345679012346,0.9012345679012346
reg3,60,reg3_m60_s1,es+pretrained,0,385,19260,1.3280262228069628,73.0,73.0,0.07780793914845548,0.002003232649211496,20,38,0.004832156002521515,403.737896799983,0.9012345679012346,0.9012345679012346
reg3,60,reg3_m60_s1,es+pretrained,0,390,19510,1.333479546680718,74.0,73.1,0.06339569802101078,0.00020907076845206804,20,39,0.005828103981912136,409.54163639998296,0.9135802469135802,0.902469135802469
reg3,60,reg3_m60_s1,es+pretrained,0,395,19760,1.333479546680718,74.0,73.1,0.06339569802101078,0.00020907076845206804,20,39,0.0051199896261096,412.94808689999627,0.9135802469135802,0.902469135802469
reg3,60,reg3_m60_s1,es+pretrained,0,400,20010,1.333479546680718,74.0,73.1,0.06339569802101078,0.00020907076845206804,20,39,0.004192959051579237,418.7112285000039,0.9135802469135802,0.902469135802469
reg3,60,reg3_m60_s1,es+pretrained,1,0,10,0.6442662691159342,40.0,42.1,0.027540394807960496,0.001616262496467678,20,33,,0.035338500048965216,0.49382716049382713,0.5197530864197532
reg3,60,reg3_m60_s1,es+pretrained,1,5,260,1.039277821225118,59.0,57.5,0.09852602522972187,0.0037308882417739237,20,38,0.008460224606096745,3.3880779000464827,0.7283950617283951,0.7098765432098766
reg3,60,reg3_m60_s1,es+pretrained,1,10,510,1.1106611106422533,62.0,59.4,0.10257653897750799,0.0012816831304525156,20,37,0.01080179214477539,9.20499940001173,0.7654320987654321,0.7333333333333333
reg3,60,reg3_m60_s1,es+pretrained,1,15,760,1.1401345010577315,63.0,62.4,0.15099395292666914,2.406431086658667e-05,20,37,0.008154276758432388,15.017452900006901,0.7777777777777778,0.7703703703703704
reg3,60,reg3_m60_s1,es+pretrained,1,20,1010,1.1401345010577315,63.0,62.8,0.15099395292666914,2.406431086658667e-05,20,37,0.011902935802936554,18.366502400022,0.7777777777777778,0.7753086419753086
reg3,60,reg3_m60_s1,es+pretrained,1,25,1260,1.1608334554349167,65.0,63.4,0.10898609449896679,0.0002808753218750751,20,36,0.011317389085888863,24.184824700001627,0.8024691358024691,0.782716049382716
reg3,60,reg3_m60_s1,es+pretrained,1,30,1510,1.1998307892727467,66.0,64.4,0.14770761840552987,0.005787505471676805,20,36,0.010057607665657997,30.022290499997325,0.8148148148148148,0.7950617283950618
reg3,60,reg3_m60_s1,es+pretrained,1,35,1760,1.1998307892727467,66.0,65.0,0.14770761840552987,0.005787505471676805,20,36,0.011602172628045082,33.39963200001512,0.8148148148148148,0.8024691358024691
reg3,60,reg3_m60_s1,es+pretrained,1,40,2010,1.2038146745578922,66.0,66.0,0.15287320402318733,0.0043584529177165465,20,37,0.011283738538622856,39.22385710000526,0.8148148148148148,0.8148148148148148
reg3,60,reg3_m60_s1,es+pretrained,1,45,2260,1.2054943412061514,66.0,66.0,0.10853076638451598,0.003130706006871719,20,35,0.010152604430913925,44.963442100037355,0.8148148148148148,0.8148148148148148
reg3,60,reg3_m60_s1,es+pretrained,1,50,2510,1.2054943412061514,66.0,66.0,0.10853076638451598,0.003130706006871719,20,35,0.012510700151324272,48.306808300025295,0.8148148148148148,0.8148148148148148
reg3,60,reg3_m60_s1,es+pretrained,1,55,2760,1.2067302355562648,66.0,66.0,0.10572682823160495,0.00021576508910150366,20,36,0.006161614321172237,54.106359700032044,0.8148148148148148,0.8148148148148148
reg3,60,reg3_m60_s1,es+pretrained,1,60,3010,1.211963780938908,66.0,66.0,0.09569107069453175,0.00486322207280937,20,35,0.007218397222459316,59.901628500025254,0.8148148148148148,0.8148148148148148
reg3,60,reg3_m60_s1,es+pretrained,1,65,3260,1.211963780938908,66.0,66.0,0.09569107069453173,0.004863222072809356,20,36,0.009277126751840115,63.22902570001315,0.8148148148148148,0.8148148148148148
reg3,60,reg3_m60_s1,es+pretrained,1,70,3510,1.211963780938908,66.0,66.0,0.09569107069453173,0.004863222072809356,20,36,0.0087388064712286,69.07807059999323,0.8148148148148148,0.8148148148148148
reg3,60,reg3_m60_s1,es+pretrained,1,75,3760,1.2161301974193948,66.0,66.0,0.09228255072908312,0.000346095935374836,20,37,0.00927762221544981,74.95199990004767,0.8148148148148148,0.8148148148148148
reg3,60,reg3_m60_s1,es+pretrained,1,80,4010,1.2913880573964756,70.0,67.2,0.09626192498312133,0.003728556200763237,20,36,0.0072236876003444195,78.32462830003351,0.8641975308641975,0.8296296296296297
reg3,60,reg3_m60_s1,es+pretrained,1,85,4260,1.2913880573964756,70.0,68.8,0.09626192498312128,0.003728556200763296,20,34,0.006844802293926477,84.12201160000404,0.8641975308641975,0.8493827160493826
reg3,60,reg3_m60_s1,es+pretrained,1,90,4510,1.3038500342212742,71.0,70.4,0.11950494867286551,0.006498094568654705,20,34,0.006448852363973856,89.92026740004076,0.8765432098765432,0.8691358024691359
reg3,60,reg3_m60_s1,es+pretrained,1,95,4760,1.3157992063817907,71.0,70.7,0.11324935770529071,0.00033303246949803467,20,35,0.005070578306913376,93.32001850003144,0.8765432098765432,0.8728395061728396
reg3,60,reg3_m60_s1,es+pretrained,1,100,5010,1.3222247069532458,72.0,70.9,0.11051411135730807,0.007856377768977258,20,34,0.0076105426996946335,99.19987440004479,0.8888888888888888,0.8753086419753087
reg3,60,reg3_m60_s1,es+pretrained,1,105,5260,1.3331839323255557,71.0,71.2,0.11500619307436363,0.0010760430729958546,20,34,0.00751268956810236,105.10347349999938,0.8765432098765432,0.8790123456790124
reg3,60,reg3_m60_s1,es+pretrained,1,110,5510,1.3457172836770592,72.0,71.3,0.09983253076144621,0.0001296806016291424,20,35,0.008558900095522404,108.54683220002335,0.8888888888888888,0.8802469135802469
reg3,60,reg3_m60_s1,es+pretrained,1,115,5760,1.356584671558391,73.0,71.6,0.0964218550959847,0.002954754694510949,20,35,0.006322549190372229,114.4361347000231,0.9012345679012346,0.8839506172839505
reg3,60,reg3_m60_s1,es+pretrained,1,120,6010,1.3594831354167385,73.0,72.2,0.1001432995363751,0.0025900428416588996,20,35,0.007029302883893251,120.20261229999596,0.9012345679012346,0.891358024691358
reg3,60,reg3_m60_s1,es+pretrained,1,125,6260,1.3660490080610026,73.0,72.4,0.09402249028709586,0.00016352861163052013,20,35,0.007977258414030075,123.61504530004459,0.9012345679012346,0.8938271604938273
reg3,60,reg3_m60_s1,es+pretrained,1,130,6510,1.3660490080610026,73.0,72.5,0.09402249028709586,0.00016352861163052013,20,35,0.008068772964179516,129.40354930004105,0.9012345679012346,0.8950617283950617
reg3,60,reg3_m60_s1,es+pretrained,1,135,6760,1.366420017388056,73.0,73.0,0.09891638089071303,0.0012351826875350302,20,34,0.006542138289660215,135.3054761000094,0.9012345679012346,0.9012345679012346
reg3,60,reg3_m60_s1,es+pretrained,1,140,7010,1.3809284292810884,74.0,73.1,0.08762272772708268,0.0016321776937072326,20,35,0.0064048063941299915,138.68750940001337,0.9135802469135802,0.902469135802469
reg3,60,reg3_m60_s1,es+pretrained,1,145,7260,1.3809284292810884,74.0,73.4,0.08762272772708271,0.0016321776937070175,20,35,0.0059232865460217,144.5340017999988,0.9135802469135802,0.9061728395061729
reg3,60,reg3_m60_s1,es+pretrained,1,150,7510,1.3822539171164785,74.0,73.9,0.09263701019204618,0.0005082900039485305,20,35,0.007422297261655331,150.4856412000372,0.9135802469135802,0.9123456790123458
reg3,60,reg3_m60_s1,es+pretrained,1,155,7760,1.3822539171164785,74.0,74.0,0.09263701019204595,0.0005082900039485305,20,35,0.0069032954052090645,153.85536640003556,0.9135802469135802,0.9135802469135802
reg3,60,reg3_m60_s1,es+pretrained,1,160,8010,1.3822539171164787,74.0,74.0,0.09263701019204623,0.0005082900039483779,20,35,0.0072934627532958984,159.80359220004175,0.9135802469135802,0.9135802469135802
reg3,60,reg3_m60_s1,es+pretrained,1,165,8260,1.3822539171164787,74.0,74.0,0.09263701019204623,0.0005082900039483779,20,35,0.008325777016580105,165.55525530001614,0.9135802469135802,0.9135802469135802
reg3,60,reg3_m60_s1,es+pretrained,1,170,8510,1.3939815235579056,75.0,74.1,0.10844904531593103,0.0015405158221246783,20,35,0.008082066662609577,168.97191130003193,0.9259259259259259,0.9148148148148147
