instance_id,grid,B,L,m_base,m_extended,qubits_base,qubits_extended,capacity,extra_qubits,gqe_cost,mip_cost,exact_match,mip_ms,mip_status,n_sites,total_mw,total_mwh,n_islanded,islanded_buses,islanded_and_sited,local_served_mw,max_exposure_mw,plan,levels
IEEE-30_v30_core_b5l9_001,IEEE-30,5,9,45,50,6,7,63,1,-8.587214362468062,-11.222413584011004,False,27.48894691467285,optimal,3,375.0,1500.0,1,[30],1,9.983573132478105,0.0693408512419683,"{8: 125.0, 28: 125.0, 30: 125.0}","[5, 5, 0, 0, 5]"
IEEE-30_v30_core_b5l9_003,IEEE-30,5,9,45,50,6,7,63,1,-11.135733631827476,-11.135733631827476,True,23.052453994750977,optimal,2,225.0,900.0,1,[30],1,12.566237541487585,0.3362563713600875,"{8: 125.0, 30: 100.0}","[5, 0, 0, 0, 4]"
IEEE-30_v30_core_b5l9_005,IEEE-30,5,9,45,50,6,7,63,1,0.0,0.0,True,1.8873214721679688,optimal,0,0.0,0.0,0,[],0,0.0,0.2807131690956766,{},"[0, 0, 0, 0, 0]"
IEEE-30_v30_core_b5l9_007,IEEE-30,5,9,45,50,6,7,63,1,-6.063827835482799,-8.622681770679957,False,20.68185806274414,optimal,3,375.0,1500.0,1,[30],1,9.91885800910237,0.1416178593952908,"{8: 125.0, 28: 125.0, 30: 125.0}","[5, 5, 0, 0, 5]"
IEEE-57_v57_core_b4l10_001,IEEE-57,4,10,40,44,6,6,45,0,-24.124578397949804,-24.124578397949804,True,16.057729721069336,optimal,2,225.0,900.0,0,[],0,0.0,0.0,"{16: 150.0, 12: 75.0}","[6, 3, 0, 0]"
IEEE-57_v57_core_b4l10_003,IEEE-57,4,10,40,44,6,6,45,0,-24.46029490999153,-25.71883096405123,False,50.676584243774414,optimal,2,275.0,1100.0,0,[],0,0.0,0.0,"{16: 175.0, 10: 100.0}","[7, 0, 4, 0]"
IEEE-57_v57_core_b4l10_005,IEEE-57,4,10,40,44,6,6,45,0,-24.87321393880189,-24.87321393880189,True,10.715007781982422,optimal,2,250.0,1000.0,0,[],0,0.0,0.0,"{16: 150.0, 12: 100.0}","[6, 4, 0, 0]"
IEEE-57_v57_core_b4l10_007,IEEE-57,4,10,40,44,6,6,45,0,-22.735573693187952,-23.53857364607221,False,15.595197677612305,optimal,2,200.0,800.0,0,[],0,0.0,0.0,"{16: 150.0, 12: 50.0}","[6, 2, 0, 0]"
IEEE-57_v57_core_b5l9_001,IEEE-57,5,9,45,50,6,7,63,1,-27.74544308784172,-29.317276050794582,False,7.77125358581543,optimal,3,375.0,1500.0,0,[],0,0.0,0.0,"{16: 175.0, 12: 100.0, 10: 100.0}","[7, 4, 4, 0, 0]"
IEEE-57_v57_core_b5l9_003,IEEE-57,5,9,45,50,6,7,63,1,-27.306928221383828,-29.317276050794582,False,8.75234603881836,optimal,2,300.0,1200.0,0,[],0,0.0,0.0,"{16: 200.0, 51: 100.0}","[8, 0, 0, 4, 0]"
IEEE-57_v57_core_b5l9_005,IEEE-57,5,9,45,50,6,7,63,1,-27.447085085682858,-27.447085085682858,True,8.058786392211914,optimal,2,250.0,1000.0,0,[],0,0.0,0.0,"{16: 150.0, 12: 100.0}","[6, 4, 0, 0, 0]"
IEEE-57_v57_core_b5l9_007,IEEE-57,5,9,45,50,6,7,63,1,-27.76702186164114,-29.36817484116323,False,9.130239486694336,optimal,3,375.0,1500.0,0,[],0,0.0,0.0,"{16: 200.0, 12: 100.0, 10: 75.0}","[8, 4, 3, 0, 0]"
