instance_id,grid,config,m,B,L,gqe_seed,optimum,gqe_cost,sa_cost,tabu_cost,greedy1_cost,greedy20_cost,blind_cost,gqe_exact,sa_exact,tabu_exact,greedy1_exact,greedy20_exact,blind_exact,gqe_gap,blind_gap,n_gates
IEEE-118_v118_core_b5l9_002,IEEE-118,v118_core_b5l9,45,5,9,102,-22.13150435146947,-22.131504351469125,-21.99297494596872,-21.882753748160283,-18.340109396598873,-22.131504351469125,-22.131504351469125,True,False,False,False,True,True,3.446132268436486e-13,3.446132268436486e-13,19
IEEE-14_core_b5l9_004,IEEE-14,core_b5l9,45,5,9,101,-15.760152112086637,-4.954752851814934,-14.805905382205879,-14.307354019345055,32.016356913203424,-4.954752851814934,-9.683494500270896,False,False,False,False,False,False,10.805399260271702,6.07665761181574,19
IEEE-14_core_b5l9_004,IEEE-14,core_b5l9,45,5,9,102,-15.760152112086637,-9.31548387977,-14.805905382205879,-14.307354019345055,32.016356913203424,-4.954752851814934,-9.683494500270896,False,False,False,False,False,False,6.444668232316637,6.07665761181574,19
IEEE-118_v118_core_b4l10_009,IEEE-118,v118_core_b4l10,40,4,10,101,-16.581638780949362,-16.58163878094941,-16.499899703423296,-16.499899703423296,-14.732880813884577,-15.523194997252617,-16.58163878094941,True,False,False,False,False,True,-4.973799150320701e-14,-4.973799150320701e-14,19
IEEE-118_v118_core_b4l10_009,IEEE-118,v118_core_b4l10,40,4,10,102,-16.581638780949362,-16.58163878094941,-16.499899703423296,-16.499899703423296,-14.732880813884577,-15.523194997252617,-16.58163878094941,True,False,False,False,False,True,-4.973799150320701e-14,-4.973799150320701e-14,19
IEEE-57_v57_core_b5l9_005,IEEE-57,v57_core_b5l9,45,5,9,101,-27.447085085682865,-27.447085085682858,-26.070092000203307,-27.447085085682858,-22.73364631868204,-27.447085085682858,-27.447085085682858,True,False,True,False,True,True,7.105427357601002e-15,7.105427357601002e-15,19
IEEE-57_v57_core_b5l9_005,IEEE-57,v57_core_b5l9,45,5,9,102,-27.447085085682865,-27.447085085682858,-26.070092000203307,-27.447085085682858,-22.73364631868204,-27.447085085682858,-27.447085085682858,True,False,True,False,True,True,7.105427357601002e-15,7.105427357601002e-15,19
IEEE-14_core_b5l9_000,IEEE-14,core_b5l9,45,5,9,101,-33.2688007640227,-33.2688007640227,-27.656482178749542,-29.613212490693197,-20.848342286881103,-20.848342286881103,-33.2688007640227,True,False,False,False,False,True,0.0,0.0,19
IEEE-14_core_b5l9_000,IEEE-14,core_b5l9,45,5,9,102,-33.2688007640227,-33.2688007640227,-27.656482178749542,-29.613212490693197,-20.848342286881103,-20.848342286881103,-33.2688007640227,True,False,False,False,False,True,0.0,0.0,19
IEEE-30_v30_core_b5l9_002,IEEE-30,v30_core_b5l9,45,5,9,101,-8.617337181390432,-5.6938278354828,-8.61733718139044,-8.215370883165521,13.93168033420556,1.5789726245522573,-8.252681770679956,False,True,False,False,False,False,2.9235093459076325,0.36465541071047625,19
IEEE-30_v30_core_b5l9_002,IEEE-30,v30_core_b5l9,45,5,9,102,-8.617337181390432,-5.6938278354828,-8.61733718139044,-8.215370883165521,13.93168033420556,1.5789726245522573,-8.252681770679956,False,True,False,False,False,False,2.9235093459076325,0.36465541071047625,19
