target,family,method,run,ratio_raw,ratio_ls,median_abs_corr,rescore_best,hit_0.8,hit_0.85,hit_0.9,prior_mean,prior_max,prior_median_abs_corr,random_mean,random_max,random_median_abs_corr
reg3_m60_s7,reg3,prior_prop,0,0.8875,0.9375,0.1224938344196552,0.825,1660.0,2310.0,,0.561375,0.7375,0.05452283988269606,0.5599999999999999,0.75,0.05290726883753165
reg3_m60_s7,reg3,db_rescore,0,0.925,0.9625,0.10566575788284241,0.825,10.0,610.0,5960.0,0.561375,0.7375,0.05452283988269606,0.5599999999999999,0.75,0.05290726883753165
reg3_m60_s7,reg3,cold,1,0.875,0.975,0.13270512732695272,0.825,610.0,2760.0,,0.561375,0.7375,0.05452283988269606,0.5599999999999999,0.75,0.05290726883753165
reg3_m60_s7,reg3,prior_init,1,0.8875,0.95,0.15610206904293988,0.825,660.0,1660.0,,0.561375,0.7375,0.05452283988269606,0.5599999999999999,0.75,0.05290726883753165
reg3_m60_s7,reg3,prior_prop,1,0.875,0.925,0.07153367253888154,0.825,610.0,1860.0,,0.561375,0.7375,0.05452283988269606,0.5599999999999999,0.75,0.05290726883753165
reg3_m60_s7,reg3,db_rescore,1,0.9125,0.975,0.06363872139669209,0.825,10.0,560.0,4210.0,0.561375,0.7375,0.05452283988269606,0.5599999999999999,0.75,0.05290726883753165
reg3_m60_s8,reg3,cold,0,0.8554216867469879,0.9397590361445783,0.12451634237467597,0.7590361445783133,2610.0,7410.0,,0.5425783132530121,0.7349397590361446,0.05452283988269606,0.5416626506024096,0.6867469879518072,0.049958098064606646
reg3_m60_s8,reg3,prior_init,0,0.891566265060241,0.9156626506024096,0.08042506661764162,0.7590361445783133,2060.0,3610.0,,0.5425783132530121,0.7349397590361446,0.05452283988269606,0.5416626506024096,0.6867469879518072,0.049958098064606646
reg3_m60_s8,reg3,prior_prop,0,0.7951807228915663,0.8795180722891566,0.13024451555800243,0.7590361445783133,,,,0.5425783132530121,0.7349397590361446,0.05452283988269606,0.5416626506024096,0.6867469879518072,0.049958098064606646
reg3_m60_s8,reg3,db_rescore,0,0.8795180722891566,0.891566265060241,0.13082433375805114,0.7590361445783133,1160.0,2060.0,,0.5425783132530121,0.7349397590361446,0.05452283988269606,0.5416626506024096,0.6867469879518072,0.049958098064606646
reg3_m60_s8,reg3,cold,1,0.8072289156626506,0.8674698795180723,0.0726262561587374,0.7590361445783133,1360.0,,,0.5425783132530121,0.7349397590361446,0.05452283988269606,0.5416626506024096,0.6867469879518072,0.049958098064606646
