target,family,method,run,evaluations,ratio
reg3_m60_s6,reg3,cold,0,11760,0.9135802469135802
reg3_m60_s6,reg3,cold,0,11810,0.9135802469135802
reg3_m60_s6,reg3,cold,0,11860,0.9135802469135802
reg3_m60_s6,reg3,cold,0,11910,0.9135802469135802
reg3_m60_s6,reg3,cold,0,11960,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12010,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12060,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12110,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12160,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12210,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12260,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12310,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12360,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12410,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12460,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12510,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12560,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12610,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12660,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12710,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12760,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12810,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12860,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12910,0.9135802469135802
reg3_m60_s6,reg3,cold,0,12960,0.9135802469135802
reg3_m60_s6,reg3,cold,0,13010,0.9135802469135802
reg3_m60_s6,reg3,cold,0,13060,0.9135802469135802
reg3_m60_s6,reg3,cold,0,13110,0.9135802469135802
reg3_m60_s6,reg3,cold,0,13160,0.9135802469135802
reg3_m60_s6,reg3,cold,0,13210,0.9135802469135802
reg3_m60_s6,reg3,cold,0,13260,0.9135802469135802
reg3_m60_s6,reg3,cold,0,13310,0.9135802469135802
reg3_m60_s6,reg3,cold,0,13360,0.9135802469135802
reg3_m60_s6,reg3,cold,0,13410,0.9135802469135802
reg3_m60_s6,reg3,cold,0,13460,0.9135802469135802
reg3_m60_s6,reg3,cold,0,13510,0.9135802469135802
reg3_m60_s6,reg3,cold,0,13560,0.9135802469135802
reg3_m60_s6,reg3,cold,0,13610,0.9135802469135802
